file_path,label,class_name,split
Anthracnose\anthracnose_100_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_101_BD.jpg,0,Anthracnose,test
Anthracnose\anthracnose_102_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_103_BD.jpg,0,Anthracnose,val
Anthracnose\anthracnose_104_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_105_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_106_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_107_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_108_BD.jpg,0,Anthracnose,val
Anthracnose\anthracnose_109_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_10_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_110_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_111_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_112_BD.jpg,0,Anthracnose,val
Anthracnose\anthracnose_113_BD.jpg,0,Anthracnose,test
Anthracnose\anthracnose_114_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_115_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_116_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_117_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_118_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_119_BD.jpg,0,Anthracnose,test
Anthracnose\anthracnose_11_BD.jpg,0,Anthracnose,val
Anthracnose\anthracnose_120_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_121_BD.jpg,0,Anthracnose,test
Anthracnose\anthracnose_122_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_123_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_124_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_125_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_126_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_127_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_128_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_129_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_12_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_130_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_131_BD.jpg,0,Anthracnose,val
Anthracnose\anthracnose_132_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_133_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_134_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_135_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_136_BD.jpg,0,Anthracnose,test
Anthracnose\anthracnose_137_BD.jpg,0,Anthracnose,val
Anthracnose\anthracnose_138_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_139_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_13_BD.jpg,0,Anthracnose,val
Anthracnose\anthracnose_140_BD.jpg,0,Anthracnose,test
Anthracnose\anthracnose_141_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_142_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_143_BD.jpg,0,Anthracnose,test
Anthracnose\anthracnose_144_BD.jpg,0,Anthracnose,test
Anthracnose\anthracnose_145_BD.jpg,0,Anthracnose,test
Anthracnose\anthracnose_146_BD.jpg,0,Anthracnose,val
Anthracnose\anthracnose_147_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_148_BD.jpg,0,Anthracnose,test
Anthracnose\anthracnose_149_BD.jpg,0,Anthracnose,val
Anthracnose\anthracnose_14_BD.jpg,0,Anthracnose,val
Anthracnose\anthracnose_150_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_151_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_152_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_153_BD.jpg,0,Anthracnose,test
Anthracnose\anthracnose_154_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_155_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_156_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_157_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_158_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_159_BD.jpg,0,Anthracnose,val
Anthracnose\anthracnose_15_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_160_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_161_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_162_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_163_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_164_BD.jpg,0,Anthracnose,val
Anthracnose\anthracnose_165_BD.jpg,0,Anthracnose,test
Anthracnose\anthracnose_166_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_167_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_168_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_169_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_16_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_170_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_171_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_172_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_173_BD.jpg,0,Anthracnose,test
Anthracnose\anthracnose_174_BD.jpg,0,Anthracnose,test
Anthracnose\anthracnose_175_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_176_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_177_BD.jpg,0,Anthracnose,train
Anthracnose\anthracnose_178_BD.jpg,0,Anthracnose,train
